"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q8","B","B","Correct","1.0","2.0"
"q9","C","B","Incorrect","0.0","2.0"
"q10","D","B","Incorrect","0.0","2.0"
"q11","","C","Unmarked","0.0","2.0"
"q12","C","C","Correct","1.0","3.0"
"q13","D","C","Incorrect","0.0","3.0"
"q14","","C","Unmarked","0.0","3.0"
"q15","","C","Unmarked","0.0","3.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","A","Unmarked","0.0","0.0"
"q2","","A","Unmarked","0.0","0.0"
"q3","","A","Unmarked","0.0","0.0"
"q4","","A","Unmarked","0.0","0.0"
"q5","","A","Unmarked","0.0","0.0"
"q6","","B","Unmarked","0.0","0.0"
"q7","CD","B","Incorrect","0.0","0.0"
"q8","","B","Unmarked","0.0","0.0"
"q9","","B","Unmarked","0.0","0.0"
"q10","","B","Unmarked","0.0","0.0"
"q11","","C","Unmarked","0.0","0.0"
"q12","","C","Unmarked","0.0","0.0"
"q13","C","C","Correct","1.0","1.0"
"q14","C","C","Correct","1.0","2.0"
"q15","","C","Unmarked","0.0","2.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","D","A","Incorrect","0.0","0.0"
"q2","C","A","Incorrect","0.0","0.0"
"q3","A","A","Correct","1.0","1.0"
"q4","A","A","Correct","1.0","2.0"
"q5","B","A","Incorrect","0.0","2.0"
"q6","C","B","Incorrect","0.0","2.0"
"q7","D","B","Incorrect","0.0","2.0"
"q8","D","B","Incorrect","0.0","2.0"
"q9","B","B","Correct","1.0","3.0"
"q10","C","B","Incorrect","0.0","3.0"
"q11","B","C","Incorrect","0.0","3.0"
"q12","B","C","Incorrect","0.0","3.0"
"q13","A","C","Incorrect","0.0","3.0"
"q14","A","C","Incorrect","0.0","3.0"
"q15","C","C","Correct","1.0","4.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","C","A","Incorrect","0.0","0.0"
"q2","C","A","Incorrect","0.0","0.0"
"q3","A","A","Correct","1.0","1.0"
"q4","A","A","Correct","1.0","2.0"
"q5","A","A","Correct","1.0","3.0"
"q6","B","B","Correct","1.0","4.0"
"q7","D","B","Incorrect","0.0","4.0"
"q8","B","B","Correct","1.0","5.0"
"q9","D","B","Incorrect","0.0","5.0"
"q10","C","B","Incorrect","0.0","5.0"
"q11","B","C","Incorrect","0.0","5.0"
"q12","D","C","Incorrect","0.0","5.0"
"q13","C","C","Correct","1.0","6.0"
"q14","B","C","Incorrect","0.0","6.0"
"q15","A","C","Incorrect","0.0","6.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","C","A","Incorrect","0.0","0.0"
"q2","C","A","Incorrect","0.0","0.0"
"q3","A","A","Correct","1.0","1.0"
"q4","A","A","Correct","1.0","2.0"
"q5","A","A","Correct","1.0","3.0"
"q6","B","B","Correct","1.0","4.0"
"q7","D","B","Incorrect","0.0","4.0"
"q8","B","B","Correct","1.0","5.0"
"q9","D","B","Incorrect","0.0","5.0"
"q10","C","B","Incorrect","0.0","5.0"
"q11","B","C","Incorrect","0.0","5.0"
"q12","D","C","Incorrect","0.0","5.0"
"q13","C","C","Correct","1.0","6.0"
"q14","B","C","Incorrect","0.0","6.0"
"q15","A","C","Incorrect","0.0","6.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","A","Unmarked","0.0","0.0"
"q2","","A","Unmarked","0.0","0.0"
"q3","","A","Unmarked","0.0","0.0"
"q4","","A","Unmarked","0.0","0.0"
"q5","","A","Unmarked","0.0","0.0"
"q6","","B","Unmarked","0.0","0.0"
"q7","","B","Unmarked","0.0","0.0"
"q8","","B","Unmarked","0.0","0.0"
"q9","","B","Unmarked","0.0","0.0"
"q10","C","B","Incorrect","0.0","0.0"
"q11","C","C","Correct","1.0","1.0"
"q12","D","C","Incorrect","0.0","1.0"
"q13","","C","Unmarked","0.0","1.0"
"q14","","C","Unmarked","0.0","1.0"
"q15","C","C","Correct","1.0","2.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","C","A","Incorrect","0.0","0.0"
"q2","C","A","Incorrect","0.0","0.0"
"q3","A","A","Correct","1.0","1.0"
"q4","A","A","Correct","1.0","2.0"
"q5","A","A","Correct","1.0","3.0"
"q6","B","B","Correct","1.0","4.0"
"q7","D","B","Incorrect","0.0","4.0"
"q8","B","B","Correct","1.0","5.0"
"q9","D","B","Incorrect","0.0","5.0"
"q10","C","B","Incorrect","0.0","5.0"
"q11","B","C","Incorrect","0.0","5.0"
"q12","D","C","Incorrect","0.0","5.0"
"q13","C","C","Correct","1.0","6.0"
"q14","B","C","Incorrect","0.0","6.0"
"q15","A","C","Incorrect","0.0","6.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","A","Incorrect","0.0","0.0"
"q2","ABC","A","Incorrect","0.0","0.0"
"q3","ABC","A","Incorrect","0.0","0.0"
"q4","ABC","A","Incorrect","0.0","0.0"
"q5","ABC","A","Incorrect","0.0","0.0"
"q6","C","B","Incorrect","0.0","0.0"
"q7","","B","Unmarked","0.0","0.0"
"q8","C","B","Incorrect","0.0","0.0"
"q9","","B","Unmarked","0.0","0.0"
"q10","","B","Unmarked","0.0","0.0"
"q11","","C","Unmarked","0.0","0.0"
"q12","","C","Unmarked","0.0","0.0"
"q13","","C","Unmarked","0.0","0.0"
"q14","","C","Unmarked","0.0","0.0"
"q15","","C","Unmarked","0.0","0.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","A","Unmarked","0.0","0.0"
"q2","","A","Unmarked","0.0","0.0"
"q3","","A","Unmarked","0.0","0.0"
"q4","","A","Unmarked","0.0","0.0"
"q5","","A","Unmarked","0.0","0.0"
"q6","","B","Unmarked","0.0","0.0"
"q7","","B","Unmarked","0.0","0.0"
"q8","C","B","Incorrect","0.0","0.0"
"q9","C","B","Incorrect","0.0","0.0"
"q10","C","B","Incorrect","0.0","0.0"
"q11","D","C","Incorrect","0.0","0.0"
"q12","B","C","Incorrect","0.0","0.0"
"q13","B","C","Incorrect","0.0","0.0"
"q14","A","C","Incorrect","0.0","0.0"
"q15","","C","Unmarked","0.0","0.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","A","Unmarked","0.0","0.0"
"q2","","A","Unmarked","0.0","0.0"
"q3","","A","Unmarked","0.0","0.0"
"q4","","A","Unmarked","0.0","0.0"
"q5","","A","Unmarked","0.0","0.0"
"q6","","B","Unmarked","0.0","0.0"
"q7","","B","Unmarked","0.0","0.0"
"q8","","B","Unmarked","0.0","0.0"
"q9","","B","Unmarked","0.0","0.0"
"q10","","B","Unmarked","0.0","0.0"
"q11","","C","Unmarked","0.0","0.0"
"q12","","C","Unmarked","0.0","0.0"
"q13","","C","Unmarked","0.0","0.0"
"q14","","C","Unmarked","0.0","0.0"
"q15","","C","Unmarked","0.0","0.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","A","Unmarked","0.0","0.0"
"q2","","A","Unmarked","0.0","0.0"
"q3","","A","Unmarked","0.0","0.0"
"q4","","A","Unmarked","0.0","0.0"
"q5","","A","Unmarked","0.0","0.0"
"q6","","B","Unmarked","0.0","0.0"
"q7","","B","Unmarked","0.0","0.0"
"q8","","B","Unmarked","0.0","0.0"
"q9","","B","Unmarked","0.0","0.0"
"q10","","B","Unmarked","0.0","0.0"
"q11","","C","Unmarked","0.0","0.0"
"q12","","C","Unmarked","0.0","0.0"
"q13","","C","Unmarked","0.0","0.0"
"q14","","C","Unmarked","0.0","0.0"
"q15","","C","Unmarked","0.0","0.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","ABCD","A","Incorrect","0.0","0.0"
"q2","ABCD","A","Incorrect","0.0","0.0"
"q3","ABCD","A","Incorrect","0.0","0.0"
"q4","ABCD","A","Incorrect","0.0","0.0"
"q5","ABCD","A","Incorrect","0.0","0.0"
"q6","ABCD","B","Incorrect","0.0","0.0"
"q7","ABCD","B","Incorrect","0.0","0.0"
"q8","ABCD","B","Incorrect","0.0","0.0"
"q9","ABCD","B","Incorrect","0.0","0.0"
"q10","ABCD","B","Incorrect","0.0","0.0"
"q11","ABCD","C","Incorrect","0.0","0.0"
"q12","ABCD","C","Incorrect","0.0","0.0"
"q13","ABCD","C","Incorrect","0.0","0.0"
"q14","ABCD","C","Incorrect","0.0","0.0"
"q15","ABCD","C","Incorrect","0.0","0.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","A","Unmarked","0.0","0.0"
"q2","","A","Unmarked","0.0","0.0"
"q3","","A","Unmarked","0.0","0.0"
"q4","","A","Unmarked","0.0","0.0"
"q5","","A","Unmarked","0.0","0.0"
"q6","","B","Unmarked","0.0","0.0"
"q7","","B","Unmarked","0.0","0.0"
"q8","","B","Unmarked","0.0","0.0"
"q9","","B","Unmarked","0.0","0.0"
"q10","","B","Unmarked","0.0","0.0"
"q11","","C","Unmarked","0.0","0.0"
"q12","","C","Unmarked","0.0","0.0"
"q13","","C","Unmarked","0.0","0.0"
"q14","","C","Unmarked","0.0","0.0"
"q15","","C","Unmarked","0.0","0.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","D","A","Incorrect","0.0","0.0"
"q2","D","A","Incorrect","0.0","0.0"
"q3","B","A","Incorrect","0.0","0.0"
"q4","B","A","Incorrect","0.0","0.0"
"q5","A","A","Correct","1.0","1.0"
"q6","B","B","Correct","1.0","2.0"
"q7","A","B","Incorrect","0.0","2.0"
"q8","C","B","Incorrect","0.0","2.0"
"q9","C","B","Incorrect","0.0","2.0"
"q10","C","B","Incorrect","0.0","2.0"
"q11","D","C","Incorrect","0.0","2.0"
"q12","B","C","Incorrect","0.0","2.0"
"q13","B","C","Incorrect","0.0","2.0"
"q14","A","C","Incorrect","0.0","2.0"
"q15","C","C","Correct","1.0","3.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","D","A","Incorrect","0.0","0.0"
"q2","C","A","Incorrect","0.0","0.0"
"q3","A","A","Correct","1.0","1.0"
"q4","A","A","Correct","1.0","2.0"
"q5","B","A","Incorrect","0.0","2.0"
"q6","C","B","Incorrect","0.0","2.0"
"q7","ABCD","B","Incorrect","0.0","2.0"
"q8","D","B","Incorrect","0.0","2.0"
"q9","B","B","Correct","1.0","3.0"
"q10","C","B","Incorrect","0.0","3.0"
"q11","B","C","Incorrect","0.0","3.0"
"q12","B","C","Incorrect","0.0","3.0"
"q13","A","C","Incorrect","0.0","3.0"
"q14","A","C","Incorrect","0.0","3.0"
"q15","C","C","Correct","1.0","4.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","A","Unmarked","0.0","0.0"
"q2","C","A","Incorrect","0.0","0.0"
"q3","C","A","Incorrect","0.0","0.0"
"q4","","A","Unmarked","0.0","0.0"
"q5","BC","A","Incorrect","0.0","0.0"
"q6","B","B","Correct","1.0","1.0"
"q7","BC","B","Incorrect","0.0","1.0"
"q8","A","B","Incorrect","0.0","1.0"
"q9","","B","Unmarked","0.0","1.0"
"q10","B","B","Correct","1.0","2.0"
"q11","","C","Unmarked","0.0","2.0"
"q12","","C","Unmarked","0.0","2.0"
"q13","","C","Unmarked","0.0","2.0"
"q14","","C","Unmarked","0.0","2.0"
"q15","","C","Unmarked","0.0","2.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","C","A","Incorrect","0.0","0.0"
"q2","C","A","Incorrect","0.0","0.0"
"q3","A","A","Correct","1.0","1.0"
"q4","A","A","Correct","1.0","2.0"
"q5","A","A","Correct","1.0","3.0"
"q6","B","B","Correct","1.0","4.0"
"q7","D","B","Incorrect","0.0","4.0"
"q8","B","B","Correct","1.0","5.0"
"q9","D","B","Incorrect","0.0","5.0"
"q10","C","B","Incorrect","0.0","5.0"
"q11","B","C","Incorrect","0.0","5.0"
"q12","D","C","Incorrect","0.0","5.0"
"q13","C","C","Correct","1.0","6.0"
"q14","B","C","Incorrect","0.0","6.0"
"q15","A","C","Incorrect","0.0","6.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","D","A","Incorrect","0.0","0.0"
"q2","D","A","Incorrect","0.0","0.0"
"q3","D","A","Incorrect","0.0","0.0"
"q4","D","A","Incorrect","0.0","0.0"
"q5","D","A","Incorrect","0.0","0.0"
"q6","C","B","Incorrect","0.0","0.0"
"q7","C","B","Incorrect","0.0","0.0"
"q8","C","B","Incorrect","0.0","0.0"
"q9","C","B","Incorrect","0.0","0.0"
"q10","B","B","Correct","1.0","1.0"
"q11","B","C","Incorrect","0.0","1.0"
"q12","B","C","Incorrect","0.0","1.0"
"q13","B","C","Incorrect","0.0","1.0"
"q14","A","C","Incorrect","0.0","1.0"
"q15","A","C","Incorrect","0.0","1.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","D","A","Incorrect","0.0","0.0"
"q2","D","A","Incorrect","0.0","0.0"
"q3","D","A","Incorrect","0.0","0.0"
"q4","D","A","Incorrect","0.0","0.0"
"q5","D","A","Incorrect","0.0","0.0"
"q6","C","B","Incorrect","0.0","0.0"
"q7","C","B","Incorrect","0.0","0.0"
"q8","C","B","Incorrect","0.0","0.0"
"q9","C","B","Incorrect","0.0","0.0"
"q10","B","B","Correct","1.0","1.0"
"q11","B","C","Incorrect","0.0","1.0"
"q12","B","C","Incorrect","0.0","1.0"
"q13","B","C","Incorrect","0.0","1.0"
"q14","A","C","Incorrect","0.0","1.0"
"q15","A","C","Incorrect","0.0","1.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","A","Unmarked","0.0","0.0"
"q2","","A","Unmarked","0.0","0.0"
"q3","","A","Unmarked","0.0","0.0"
"q4","","A","Unmarked","0.0","0.0"
"q5","","A","Unmarked","0.0","0.0"
"q6","","B","Unmarked","0.0","0.0"
"q7","","B","Unmarked","0.0","0.0"
"q8","","B","Unmarked","0.0","0.0"
"q9","","B","Unmarked","0.0","0.0"
"q10","","B","Unmarked","0.0","0.0"
"q11","","C","Unmarked","0.0","0.0"
"q12","CD","C","Incorrect","0.0","0.0"
"q13","","C","Unmarked","0.0","0.0"
"q14","","C","Unmarked","0.0","0.0"
"q15","","C","Unmarked","0.0","0.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","A","A","Correct","1.0","1.0"
"q2","A","A","Correct","1.0","2.0"
"q3","A","A","Correct","1.0","3.0"
"q4","B","A","Incorrect","0.0","3.0"
"q5","D","A","Incorrect","0.0","3.0"
"q6","A","B","Incorrect","0.0","3.0"
"q7","C","B","Incorrect","0.0","3.0"
"q8","","B","Unmarked","0.0","3.0"
"q9","B","B","Correct","1.0","4.0"
"q10","A","B","Incorrect","0.0","4.0"
"q11","D","C","Incorrect","0.0","4.0"
"q12","C","C","Correct","1.0","5.0"
"q13","C","C","Correct","1.0","6.0"
"q14","C","C","Correct","1.0","7.0"
"q15","B","C","Incorrect","0.0","7.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","A","Incorrect","0.0","0.0"
"q2","B","A","Incorrect","0.0","0.0"
"q3","D","A","Incorrect","0.0","0.0"
"q4","C","A","Incorrect","0.0","0.0"
"q5","A","A","Correct","1.0","1.0"
"q6","A","B","Incorrect","0.0","1.0"
"q7","A","B","Incorrect","0.0","1.0"
"q8","B","B","Correct","1.0","2.0"
"q9","B","B","Correct","1.0","3.0"
"q10","D","B","Incorrect","0.0","3.0"
"q11","C","C","Correct","1.0","4.0"
"q12","D","C","Incorrect","0.0","4.0"
"q13","A","C","Incorrect","0.0","4.0"
"q14","B","C","Incorrect","0.0","4.0"
"q15","C","C","Correct","1.0","5.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","A","Incorrect","0.0","0.0"
"q2","B","A","Incorrect","0.0","0.0"
"q3","D","A","Incorrect","0.0","0.0"
"q4","C","A","Incorrect","0.0","0.0"
"q5","A","A","Correct","1.0","1.0"
"q6","A","B","Incorrect","0.0","1.0"
"q7","A","B","Incorrect","0.0","1.0"
"q8","B","B","Correct","1.0","2.0"
"q9","B","B","Correct","1.0","3.0"
"q10","D","B","Incorrect","0.0","3.0"
"q11","C","C","Correct","1.0","4.0"
"q12","D","C","Incorrect","0.0","4.0"
"q13","A","C","Incorrect","0.0","4.0"
"q14","B","C","Incorrect","0.0","4.0"
"q15","C","C","Correct","1.0","5.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","A","Unmarked","0.0","0.0"
"q2","","A","Unmarked","0.0","0.0"
"q3","","A","Unmarked","0.0","0.0"
"q4","","A","Unmarked","0.0","0.0"
"q5","","A","Unmarked","0.0","0.0"
"q6","","B","Unmarked","0.0","0.0"
"q7","","B","Unmarked","0.0","0.0"
"q8","","B","Unmarked","0.0","0.0"
"q9","","B","Unmarked","0.0","0.0"
"q10","","B","Unmarked","0.0","0.0"
"q11","","C","Unmarked","0.0","0.0"
"q12","","C","Unmarked","0.0","0.0"
"q13","","C","Unmarked","0.0","0.0"
"q14","","C","Unmarked","0.0","0.0"
"q15","","C","Unmarked","0.0","0.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","A","Incorrect","0.0","0.0"
"q2","B","A","Incorrect","0.0","0.0"
"q3","D","A","Incorrect","0.0","0.0"
"q4","C","A","Incorrect","0.0","0.0"
"q5","A","A","Correct","1.0","1.0"
"q6","A","B","Incorrect","0.0","1.0"
"q7","A","B","Incorrect","0.0","1.0"
"q8","B","B","Correct","1.0","2.0"
"q9","B","B","Correct","1.0","3.0"
"q10","","B","Unmarked","0.0","3.0"
"q11","","C","Unmarked","0.0","3.0"
"q12","","C","Unmarked","0.0","3.0"
"q13","A","C","Incorrect","0.0","3.0"
"q14","B","C","Incorrect","0.0","3.0"
"q15","C","C","Correct","1.0","4.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","A","Incorrect","0.0","0.0"
"q2","B","A","Incorrect","0.0","0.0"
"q3","D","A","Incorrect","0.0","0.0"
"q4","C","A","Incorrect","0.0","0.0"
"q5","","A","Unmarked","0.0","0.0"
"q6","","A","Unmarked","0.0","0.0"
"q7","","A","Unmarked","0.0","0.0"
"q8","B","A","Incorrect","0.0","0.0"
"q9","B","A","Incorrect","0.0","0.0"
"q10","","A","Unmarked","0.0","0.0"
"q11","C","A","Incorrect","0.0","0.0"
"q12","D","A","Incorrect","0.0","0.0"
"q13","A","A","Correct","1.0","1.0"
"q14","B","A","Incorrect","0.0","1.0"
"q15","C","A","Incorrect","0.0","1.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","A","Incorrect","0.0","0.0"
"q2","B","A","Incorrect","0.0","0.0"
"q3","D","A","Incorrect","0.0","0.0"
"q4","C","A","Incorrect","0.0","0.0"
"q5","A","A","Correct","1.0","1.0"
"q6","A","A","Correct","1.0","2.0"
"q7","A","A","Correct","1.0","3.0"
"q8","B","A","Incorrect","0.0","3.0"
"q9","B","A","Incorrect","0.0","3.0"
"q10","D","A","Incorrect","0.0","3.0"
"q11","C","A","Incorrect","0.0","3.0"
"q12","D","A","Incorrect","0.0","3.0"
"q13","A","A","Correct","1.0","4.0"
"q14","B","A","Incorrect","0.0","4.0"
"q15","C","A","Incorrect","0.0","4.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","A","A","Correct","1.0","1.0"
"q2","A","A","Correct","1.0","2.0"
"q3","A","A","Correct","1.0","3.0"
"q4","B","A","Incorrect","0.0","3.0"
"q5","D","A","Incorrect","0.0","3.0"
"q6","A","A","Correct","1.0","4.0"
"q7","C","A","Incorrect","0.0","4.0"
"q8","C","A","Incorrect","0.0","4.0"
"q9","B","A","Incorrect","0.0","4.0"
"q10","A","A","Correct","1.0","5.0"
"q11","ABCD","A","Incorrect","0.0","5.0"
"q12","ABCD","A","Incorrect","0.0","5.0"
"q13","ABCD","A","Incorrect","0.0","5.0"
"q14","ABCD","A","Incorrect","0.0","5.0"
"q15","B","A","Incorrect","0.0","5.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","A","Unmarked","0.0","0.0"
"q2","","A","Unmarked","0.0","0.0"
"q3","","A","Unmarked","0.0","0.0"
"q4","","A","Unmarked","0.0","0.0"
"q5","","A","Unmarked","0.0","0.0"
"q6","","A","Unmarked","0.0","0.0"
"q7","","A","Unmarked","0.0","0.0"
"q8","","A","Unmarked","0.0","0.0"
"q9","","A","Unmarked","0.0","0.0"
"q10","","A","Unmarked","0.0","0.0"
"q11","","A","Unmarked","0.0","0.0"
"q12","","A","Unmarked","0.0","0.0"
"q13","","A","Unmarked","0.0","0.0"
"q14","","A","Unmarked","0.0","0.0"
"q15","","A","Unmarked","0.0","0.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","A","Incorrect","0.0","0.0"
"q2","B","A","Incorrect","0.0","0.0"
"q3","D","A","Incorrect","0.0","0.0"
"q4","C","A","Incorrect","0.0","0.0"
"q5","A","A","Correct","1.0","1.0"
"q6","A","A","Correct","1.0","2.0"
"q7","A","A","Correct","1.0","3.0"
"q8","B","A","Incorrect","0.0","3.0"
"q9","B","A","Incorrect","0.0","3.0"
"q10","D","A","Incorrect","0.0","3.0"
"q11","C","A","Incorrect","0.0","3.0"
"q12","D","A","Incorrect","0.0","3.0"
"q13","A","A","Correct","1.0","4.0"
"q14","B","A","Incorrect","0.0","4.0"
"q15","C","A","Incorrect","0.0","4.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","D","A","Incorrect","0.0","0.0"
"q2","C","A","Incorrect","0.0","0.0"
"q3","A","A","Correct","1.0","1.0"
"q4","A","A","Correct","1.0","2.0"
"q5","B","A","Incorrect","0.0","2.0"
"q6","C","A","Incorrect","0.0","2.0"
"q7","D","A","Incorrect","0.0","2.0"
"q8","D","A","Incorrect","0.0","2.0"
"q9","B","A","Incorrect","0.0","2.0"
"q10","C","A","Incorrect","0.0","2.0"
"q11","B","A","Incorrect","0.0","2.0"
"q12","B","A","Incorrect","0.0","2.0"
"q13","A","A","Correct","1.0","3.0"
"q14","A","A","Correct","1.0","4.0"
"q15","C","A","Incorrect","0.0","4.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","ABCD","A","Incorrect","0.0","0.0"
"q2","ABCD","A","Incorrect","0.0","0.0"
"q3","ABCD","A","Incorrect","0.0","0.0"
"q4","ABCD","A","Incorrect","0.0","0.0"
"q5","ABCD","A","Incorrect","0.0","0.0"
"q6","ABCD","A","Incorrect","0.0","0.0"
"q7","ABCD","A","Incorrect","0.0","0.0"
"q8","ABCD","A","Incorrect","0.0","0.0"
"q9","ABC","A","Incorrect","0.0","0.0"
"q10","AB","A","Incorrect","0.0","0.0"
"q11","A","A","Correct","1.0","1.0"
"q12","A","A","Correct","1.0","2.0"
"q13","","A","Unmarked","0.0","2.0"
"q14","","A","Unmarked","0.0","2.0"
"q15","","A","Unmarked","0.0","2.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","A","Unmarked","0.0","0.0"
"q2","","A","Unmarked","0.0","0.0"
"q3","","A","Unmarked","0.0","0.0"
"q4","","A","Unmarked","0.0","0.0"
"q5","","A","Unmarked","0.0","0.0"
"q6","","A","Unmarked","0.0","0.0"
"q7","","A","Unmarked","0.0","0.0"
"q8","","A","Unmarked","0.0","0.0"
"q9","","A","Unmarked","0.0","0.0"
"q10","","A","Unmarked","0.0","0.0"
"q11","","A","Unmarked","0.0","0.0"
"q12","","A","Unmarked","0.0","0.0"
"q13","","A","Unmarked","0.0","0.0"
"q14","","A","Unmarked","0.0","0.0"
"q15","","A","Unmarked","0.0","0.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","ABCD","A","Incorrect","0.0","0.0"
"q2","ABCD","A","Incorrect","0.0","0.0"
"q3","ABCD","A","Incorrect","0.0","0.0"
"q4","ABCD","A","Incorrect","0.0","0.0"
"q5","ABCD","A","Incorrect","0.0","0.0"
"q6","ABCD","A","Incorrect","0.0","0.0"
"q7","ABCD","A","Incorrect","0.0","0.0"
"q8","ABCD","A","Incorrect","0.0","0.0"
"q9","ABCD","A","Incorrect","0.0","0.0"
"q10","ABCD","A","Incorrect","0.0","0.0"
"q11","ABCD","A","Incorrect","0.0","0.0"
"q12","ABCD","A","Incorrect","0.0","0.0"
"q13","ABCD","A","Incorrect","0.0","0.0"
"q14","ABCD","A","Incorrect","0.0","0.0"
"q15","ABCD","A","Incorrect","0.0","0.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","A","A","Correct","1.0","1.0"
"q2","A","A","Correct","1.0","2.0"
"q3","A","A","Correct","1.0","3.0"
"q4","B","A","Incorrect","0.0","3.0"
"q5","D","A","Incorrect","0.0","3.0"
"q6","A","A","Correct","1.0","4.0"
"q7","C","A","Incorrect","0.0","4.0"
"q8","C","A","Incorrect","0.0","4.0"
"q9","B","A","Incorrect","0.0","4.0"
"q10","A","A","Correct","1.0","5.0"
"q11","D","A","Incorrect","0.0","5.0"
"q12","C","A","Incorrect","0.0","5.0"
"q13","C","A","Incorrect","0.0","5.0"
"q14","C","A","Incorrect","0.0","5.0"
"q15","B","A","Incorrect","0.0","5.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
